ACCESSION_NUMBER	CS_ID	SECURITIESCLASSTITLE	CERTIFICATIONFILENUMBER	APPROXRECORDHOLDERS
0001144204-19-017020	1	Common Stock	024-10643	119
0001493152-19-002139	1	Common Stock	024-10735	134
